DATE,shift start time,shift end time,first sunrise,first sunset,second_sunrise,Darkness (minutes),% of Shift
2022-06-07,15:30:00,23:30:00,10:03:11,19:02:36,,267.4,55.7
2022-06-07,23:30:00,07:30:00,10:03:46,19:02:23,2022-06-08 10:03:46,480,100
2022-06-08,07:30:00,15:30:00,10:03:46,19:02:23,,153.8,32.0
2022-06-08,15:30:00,23:30:00,10:03:46,19:02:23,,267.6,55.8
2022-06-08,23:30:00,07:30:00,10:04:19,19:02:13,2022-06-09 10:04:19,480,100
2022-06-09,07:30:00,15:30:00,10:04:19,19:02:13,,154.3,32.1
2022-06-09,15:30:00,23:30:00,10:04:19,19:02:13,,267.8,55.8
2022-06-09,23:30:00,07:30:00,10:04:50,19:02:04,2022-06-10 10:04:50,480,100
2022-06-10,07:30:00,15:30:00,10:04:50,19:02:04,,154.8,32.3
2022-06-10,15:30:00,23:30:00,10:04:50,19:02:04,,267.9,55.8
2022-06-10,23:30:00,07:30:00,10:05:20,19:01:57,2022-06-11 10:05:20,480,100
2022-06-11,07:30:00,15:30:00,10:05:20,19:01:57,,155.3,32.4
2022-06-11,15:30:00,23:30:00,10:05:20,19:01:57,,268.1,55.9
2022-06-11,23:30:00,07:30:00,10:05:48,19:01:53,2022-06-12 10:05:48,480,100
2022-06-12,07:30:00,15:30:00,10:05:48,19:01:53,,155.8,32.5
2022-06-12,15:30:00,23:30:00,10:05:48,19:01:53,,268.1,55.9
2022-06-12,23:30:00,07:30:00,10:06:15,19:01:50,2022-06-13 10:06:15,480,100
2022-06-13,07:30:00,15:30:00,10:06:15,19:01:50,,156.3,32.6
2022-06-13,15:30:00,23:30:00,10:06:15,19:01:50,,268.2,55.9
2022-06-13,23:30:00,07:30:00,10:06:39,19:01:49,2022-06-14 10:06:39,480,100
2022-06-14,07:30:00,15:30:00,10:06:39,19:01:49,,156.7,32.6
2022-06-14,15:30:00,23:30:00,10:06:39,19:01:49,,268.2,55.9
2022-06-14,23:30:00,07:30:00,10:07:02,19:01:50,2022-06-15 10:07:02,480,100
2022-06-15,07:30:00,15:30:00,10:07:02,19:01:50,,157.0,32.7
2022-06-15,15:30:00,23:30:00,10:07:02,19:01:50,,268.2,55.9
2022-06-15,23:30:00,07:30:00,10:07:24,19:01:53,2022-06-16 10:07:24,480,100
2022-06-16,07:30:00,15:30:00,10:07:24,19:01:53,,157.4,32.8
2022-06-16,15:30:00,23:30:00,10:07:24,19:01:53,,268.1,55.9
2022-06-16,23:30:00,07:30:00,10:07:43,19:01:58,2022-06-17 10:07:43,480,100
2022-06-17,07:30:00,15:30:00,10:07:43,19:01:58,,157.7,32.9
